iri,label,prefLabel,type,dimension
https://rs.tdwg.org/bdqtest/terms/01c6dafa-0886-4b7e-9881-2c3018c98bdc,VALIDATION_TAXONRANK_NOTEMPTY,Validation dwc:taxonRank Not Empty,Validation,Completeness
https://rs.tdwg.org/bdqtest/terms/06851339-843f-4a43-8422-4e61b9a00e75,VALIDATION_KINGDOM_FOUND,Validation dwc:kingdom Found in bdq:sourceAuthority,Validation,Conformance
https://rs.tdwg.org/bdqtest/terms/0493bcfb-652e-4d17-815b-b0cce0742fbe,VALIDATION_TAXON_UNAMBIGUOUS,Validation dwc:Taxon Unambiguous,Validation,Conformance
https://rs.tdwg.org/bdqtest/terms/07c28ace-561a-476e-a9b9-3d5ad6e35933,VALIDATION_NAMEPUBLISHEDINYEAR_NOTEMPTY,Validation dwc:namePublishedInYear Not Empty,Validation,Completeness
https://rs.tdwg.org/bdqtest/terms/0949110d-c06b-450e-9649-7c1374d940d1,VALIDATION_OCCURRENCESTATUS_STANDARD,Validation dwc:occurrenceStatus Standard,Validation,Conformance
https://rs.tdwg.org/bdqtest/terms/0bb8297d-8f8a-42d2-80c1-558f29efe798,VALIDATION_OCCURRENCESTATUS_NOTEMPTY,Validation dwc:occurrenceStatus Not Empty,Validation,Completeness
https://rs.tdwg.org/bdqtest/terms/13d5a10e-188e-40fd-a22c-dbaa87b91df2,VALIDATION_CLASSS_FOUND,Validation dwc:class Found in bdq:sourceAuthority,Validation,Conformance
https://rs.tdwg.org/bdqtest/terms/14da5b87-8304-4b2b-911d-117e3c29e890,VALIDATION_COORDINATEUNCERTAINTYINMETERS_INRANGE,Validation dwc:coordinateUncertaintyInMeters In Range,Validation,Conformance
https://rs.tdwg.org/bdqtest/terms/15f78619-811a-4c6f-997a-a4ce408af705,VALIDATION_TAXON_NOTEMPTY,Validation dwc:Taxon Not Empty,Validation,Completeness
https://rs.tdwg.org/bdqtest/terms/17f03f1f-f74d-40c0-8071-2927cfc9487b,VALIDATION_ENDDAYOFYEAR_INRANGE,Validation dwc:endDayOfYear In Range,Validation,Conformance
https://rs.tdwg.org/bdqtest/terms/1bf0e210-6792-4128-b8cc-ab6828aa4871,VALIDATION_SCIENTIFICNAMEAUTHORSHIP_NOTEMPTY,Validation dwc:scientificNameAuthorship Not Empty,Validation,Completeness
